image_id,description,height,width,path
61izEZdhlaL,"Lead-free glass: made of crystal-clear, lead-free glass for stunning clarity; keeps its shine through many washings; beautifully showcases beverages and adds a touch of glamour to any gathering. Versatile: suitable for special occasions and everyday use; ideal for serving liquor, mixed drinks, and non-alcoholic beverages, like freshly squeezed lemonade, iced tea, juice, water, soda, and more. Chic style and easy care: heavy sham for extra stability; squared base transitions into a circular rim for eye-catching aesthetics; dishwasher-safe for convenient cleaning. Includes: (8) 16-ounce cooler glasses and (8) 13-ounce DOF glasses; made in the USA. Dimensions: cooler glass measures 6.2 inches high by 3.1 inches wide with a 2.9-inch base; DOF glass measures 4 inches high by 3.6 inches wide with a 3.3-inch base",1197,894,07/075e5d67.jpg
91IjyKZ76qL,,2560,2560,c6/c6889ed4.jpg
71x4c-BafpL,"Tripod speaker stand for easy speaker setup; ideal for use on stage, in a studio, or at home. 100-pound maximum weight capacity; adjustable height (3.8 to 6 feet) for putting sound right where you want it. Constructed with a durable steel tube for reliable strength; upper shaft measures 1.4 inches (35mm) in diameter. Safety pin ensures secure speaker placement; black finish for easy coordinating with other equipment. Backed by an AmazonBasics 1-year limited warranty",2560,2560,2b/2b90e918.jpg
71-eMu0gN+L,Bright metallic tassels gleam against an earthy suede upper in this luxe slide sandal with minimalist heel.. Slip-on closure,704,1770,2c/2c0416de.jpg
610jXVKNJpL,"Lead-free glass: made of crystal-clear, lead-free glass for stunning clarity; keeps its shine through many washings; beautifully showcases beverages and adds a touch of glamour to any gathering. Versatile: suitable for special occasions and everyday use; ideal for serving both mixed drinks and non-alcoholic beverages, like freshly squeezed lemonade, iced tea, water, soda, juice, and more. Contemporary style: sleek silhouette with gently curved sides and an exaggerated sham for extra stability and eye-catching allure. Easy care: dishwasher-safe for quick, convenient cleaning; made in the USA. Dimensions: measures 5.8 inches high by 3.2 inches wide with a 2.1-inch base",1630,863,ea/ea0c6da6.jpg
81oNfRT6ebL,"Brought to you by Whole Foods Market.  The packaging for this product has a fresh new look. During this transition, you may get the original packaging or the new packaging in your order, but the product and quality is staying exactly the same. Enjoy!. Ultra-Pasteurized.. Just Milk & Cream with No Added Gums.. From Cows Not Treated with rBST.. Certified USDA Organic. Certified Kosher.",2560,1431,e7/e7983ec5.jpg
91T4zCd6GhL,Brought to you by Whole Foods Market. Limited seasonal collection. Non GMO Verified,2560,2102,dc/dcf40fb6.jpg
51fDZFHuHjL,"Product 1: Designed for acne prone skin, not recommended for very sensitive skin. Product 1: Dermatologist tested. Formula not tested on animals. Product 1: Formulated without parabens, fragrance, sulfates, phthalates. Product 1: Show blemishes who’s boss with this lightweight, acne-fighting spot treatment. Product 2: Created for all skin types, our revitalizing, balancing mask cleans from deep within to absorb excess oil while balancing skin. Product 2: Charcoal and kaolin help absorb dirt and impurities from pores while aloe and hyaluronic acid help skin retain moisture.. Product 2: Formulated without parabens, fragrance, sulfates, phthalates. Dermatologist tested. Formula not tested on animals. Product 2: SELF Healthy Beauty Awards 2019: The 12 Best New Skin-Care Products for Combination Skin",1001,1001,72/729ff131.jpg
810iH82SMKL,,2560,2560,f0/f0f82cfb.jpg
51-GyrXggbL,"Product 1: Proprietary probiotic blend formulated for men and women. Product 1: 8 strains of probiotic blend (5 billion CFU) per capsule with 60 mg prebiotic blend. Product 1: 60 vegetarian capsules, a two month supply (taken daily at listed serving size). Product 1: Satisfaction Guarantee: We’re proud of our products. If you aren’t satisfied, we’ll refund you for any reason within a year of purchase. 1-877-485-0385. Product 2: Calcium 1000 mg, Magnesium 400 mg and Zinc 15 mg per serving (3 caplets). Product 2: 150 caplets; 50 servings. Product 2: No gluten, artificial colors or lactose. Product 2: Satisfaction Guarantee: We’re proud of our products. If you aren’t satisfied, we’ll refund you for any reason within a year of purchase. 1-877-485-0385",1001,1001,6c/6cbee57e.jpg
81Xh+yZvD1L,"With a wood top and metal 3-legged stand, this table is modern yet classic. The wood top is a ""natural edge"" cut. No two tables are exactly alike; allow for some height variation. This table is a handy landing spot for keys, phones and small table lamps.. 18.9""L x 18.9""W x 18.2""H. Engineered wood with walnut veneer; metal stand bottom. Modern yet classic. Convenient side table for living room or bedroom. Simple assembly in 15-30 minutes. Free returns for 30 days. 1-year warranty.",2560,2560,d9/d93b23d1.jpg
71i8SuSVKGL,"Real American chicken is the #1 ingredient to give your pup a delicious blend. Nutritious vegetables like lentils and peas provide vitamins, minerals, antioxidants, and phytonutrients; salmon oil and flaxseed provide omega-3 fatty acids, including long-chain DHA. Contains no added grain, corn, or wheat; no added artificial colors, flavors, or chemical preservatives. Made in California, USA at a family-owned facility with trusted, high quality sources from around the world. Our recipes are formulated with the help of veterinarians for the optimal blend of protein and fat, without adding any grains. Gradual transitioning is important to help avoid dietary upsets",1500,1020,5b/5b723420.jpg
71h6rhvKH9L,"With a life of 15,000 hours, the bulb will last over 13 years (based on 3 hours of use each day). Provides 800 lumens of light immediately, with no waiting time to warm up to full brightness. With a correlated color temperature of 2700 Kelvin, this bulb provides a soft white light, creating a comfortable atmoshphere for any room. This LED light bulb uses only 10.5 watts of energy, saving up to $81.68 over the life of the bulb vs. its incandescent equivalent (based on 3 hours/day, 11 cents/kWh, may vary depending on rates and use). This bulb costs only $1.26 per year to operate (based on 3 hours/day, 11 cents/kWh) making it an economical alternative to incandescent bulbs. Not eligible for shipments to California",2102,2560,3d/3d5907d2.jpg
71T+bO0FkKL,"Kid’s/youth reclining chair appropriate for ages 5 and up; 90 pound weight capacity. Smooth LeatherSoft upholstery offers durability and comfort; wipe clean with a damp cloth. CA117 fire retardant foam filling for children's safety; plush padding for extra comfort. Solid hardwood frame and raised plastic feet for enhanced sturdiness. Armrest storage compartment for books, video game controllers, remotes, and more",2560,2280,7c/7c530bb1.jpg
61-eEbCIXBL,"Brought to you by Whole Foods Market. Crunchy almonds & macadamia nuts mixed with tart cranberries & spicy ginger. Package Dimensions: 6.9 L x 22.4 H x 15.2 W (centimeters). Ingredients: 'ALMONDS (ALMONDS, EXPELLER PRESSED CANOLA OIL, SEA SALT), MACADAMIA NUTS (MACADAMIA, EXPELLER PRESSED CANOLA OIL, SEA SALT), CRANBERRIES (CRANBERRIES, CANE SUGAR, EXPELLER PRESSED SUNFLOWER SEED OIL), GINGER (GINGER, CANE SUGAR).'",1000,708,f2/f266c183.jpg
71KwV3JHT9L,Built wooden sole. Imitation-suede leather uppers. Rounded toe. Order a size above your usual size,2560,1969,ff/ffb123bf.jpg
