player_id,yearid,votedby,ballots,needed,votes,inducted,category,needed_note
cobbty01,1936,BBWAA,226.0,170.0,222.0,Y,Player,""
ruthba01,1936,BBWAA,226.0,170.0,215.0,Y,Player,""
wagneho01,1936,BBWAA,226.0,170.0,215.0,Y,Player,""
mathech01,1936,BBWAA,226.0,170.0,205.0,Y,Player,""
johnswa01,1936,BBWAA,226.0,170.0,189.0,Y,Player,""
lajoina01,1936,BBWAA,226.0,170.0,146.0,N,Player,""
speaktr01,1936,BBWAA,226.0,170.0,133.0,N,Player,""
youngcy01,1936,BBWAA,226.0,170.0,111.0,N,Player,""
hornsro01,1936,BBWAA,226.0,170.0,105.0,N,Player,""
cochrmi01,1936,BBWAA,226.0,170.0,80.0,N,Player,""
sislege01,1936,BBWAA,226.0,170.0,77.0,N,Player,""
collied01,1936,BBWAA,226.0,170.0,60.0,N,Player,""
colliji01,1936,BBWAA,226.0,170.0,58.0,N,Player,""
alexape01,1936,BBWAA,226.0,170.0,55.0,N,Player,""
gehrilo01,1936,BBWAA,226.0,170.0,51.0,N,Player,""
bresnro01,1936,BBWAA,226.0,170.0,47.0,N,Player,""
keelewi01,1936,BBWAA,226.0,170.0,40.0,N,Player,""
ansonca01,1936,Veterans,78.0,59.0,39.0,N,Player,""
ewingbu01,1936,Veterans,78.0,59.0,39.0,N,Player,""
keelewi01,1936,Veterans,78.0,59.0,33.0,N,Player,""
wadderu01,1936,BBWAA,226.0,170.0,33.0,N,Player,""
youngcy01,1936,Veterans,78.0,59.0,32.0,N,Player,""
delahed01,1936,Veterans,78.0,59.0,21.0,N,Player,""
foxxji01,1936,BBWAA,226.0,170.0,21.0,N,Player,""
walshed01,1936,BBWAA,226.0,170.0,20.0,N,Player,""
mcgrajo01,1936,Veterans,78.0,59.0,17.0,N,Player,""
delahed01,1936,BBWAA,226.0,170.0,17.0,N,Player,""
radboch01,1936,Veterans,78.0,59.0,16.0,N,Player,""
traynpi01,1936,BBWAA,226.0,170.0,16.0,N,Player,""
kellyki01,1936,Veterans,78.0,59.0,15.0,N,Player,""
longhe01,1936,Veterans,78.0,59.0,15.0,N,Player,""
friscfr01,1936,BBWAA,226.0,170.0,14.0,N,Player,""
grovele01,1936,BBWAA,226.0,170.0,12.0,N,Player,""
jennihu01,1936,Veterans,78.0,59.0,11.0,N,Player,""
rusieam01,1936,Veterans,78.0,59.0,11.0,N,Player,""
chaseha01,1936,BBWAA,226.0,170.0,11.0,N,Player,""
youngro01,1936,BBWAA,226.0,170.0,10.0,N,Player,""
clarkfr01,1936,Veterans,78.0,59.0,9.0,N,Player,""
terrybi01,1936,BBWAA,226.0,170.0,9.0,N,Player,""
colliji01,1936,Veterans,78.0,59.0,8.0,N,Player,""
klingjo01,1936,BBWAA,226.0,170.0,8.0,N,Player,""
crigelo01,1936,BBWAA,226.0,170.0,7.0,N,Player,""
comisch01,1936,Veterans,78.0,59.0,6.0,N,Player,""
dennyje01,1936,Veterans,78.0,59.0,6.0,N,Player,""
langebi01,1936,Veterans,78.0,59.0,6.0,N,Player,""
robinwi01,1936,Veterans,78.0,59.0,6.0,N,Player,""
stoveha01,1936,Veterans,78.0,59.0,6.0,N,Player,""
wrighge01,1936,Veterans,78.0,59.0,6.0,N,Player,""
brownmo01,1936,BBWAA,226.0,170.0,6.0,N,Player,""
eversjo01,1936,BBWAA,226.0,170.0,6.0,N,Player,""
clarkjo01,1936,Veterans,78.0,59.0,5.0,N,Player,""
wagneho01,1936,Veterans,78.0,59.0,5.0,N,Player,""
chancfr01,1936,BBWAA,226.0,170.0,5.0,N,Player,""
spaldal01,1936,Veterans,78.0,59.0,4.0,N,Player,""
mcgrajo01,1936,BBWAA,226.0,170.0,4.0,N,Player,""
schalra01,1936,BBWAA,226.0,170.0,4.0,N,Player,""
