ITEM_ID,PRICE,CATEGORY_L1,CATEGORY_L2,PRODUCT_DESCRIPTION,GENDER
"e1669081-8ffc-4dec-97a6-e9176d7f6651",124.99,apparel,scarf,"Sans pareil scarf for women",F
"cfafd627-7d6b-43a5-be05-4c7937be417d",57.99,housewares,kitchen,"A must-have for your kitchen",Any
"6e6ad102-7510-4a02-b8ce-5a0cd6f431d1",133.99,apparel,jacket,"This gainsboro jacket for women is perfect for the city",F
"49b89871-5fe7-4898-b99d-953e15fb42b2",196.99,electronics,speaker,"High definition speakers to fill the house with beautiful music",Any
"5cb18925-3a3c-4867-8f1c-46efd7eba067",9.99,footwear,sandals,"This spiffy pair of sandals for woman is perfect for the summer",F
"91cc9fa1-d8e9-46ae-9c8d-86264de2c6cc",35.99,housewares,bowls,"This stylish ceramic bowl is a must-have",Any
"ee0cec46-8edf-4436-84f0-d83e7f9c453f",160.99,furniture,chairs,"Relax in this nice blue armchair",Any
"0d6971a2-cffb-4602-9d4a-8edef2ac9d22",60.99,homedecor,decorative,"This ceramic vase is a must-have for your home decor",Any
"7f9e25ec-34a9-4b27-9f97-041c58e6640e",56.99,accessories,glasses,"Edgy glasses for women",F
"eb8f10ab-1317-4a11-b058-b2098bb64326",55.99,housewares,kitchen,"Outstanding for every kitchen",Any
"b11944ce-c888-4ddb-8f64-f89a6d628288",99.99,accessories,glasses,"Swanky glasses for women",F
"a6432520-a9fe-42a3-8e04-58cd50d18fb0",46.99,seasonal,easter,"A favorite for early April",Any
"8a4af646-ffb5-4413-a201-750537e2a318",9.99,footwear,formal,"Pair of black formal shoes for men",M
"95677239-43cc-44e4-a97f-4a9c072210ae",211.99,furniture,chairs,"Swanky gainsboro armchair for any room",Any
"ab6462b7-2061-42ba-a19f-a1efc877d800",155.99,furniture,chairs,"Relax in this nice peru-orange armchair",Any
"e1d2ec50-2970-43be-aeb7-fc90779086b7",102.99,floral,bouquet,"Wedding bouquet delivered fresh and vibrant from our growers",Any
"1de0c711-042b-4b47-93d9-3a7d8d969ac6",78.99,apparel,jacket,"This firebrick jacket for women is perfect for the city",F
"e65ad5b5-6860-4444-b873-9368c49cf30c",11.99,tools,plier,"This plier is a must-have for your toolbox",Any
"25a3547f-4a86-46f5-857a-fc17aa2b8fa0",412.99,outdoors,kayaking,"This venturous kayak will take you everywhere",Any
"2a33865f-f45b-475f-9e35-29c8de4dc42d",180.99,outdoors,camping,"This camping tent is essential in the wilderness",Any
"dd9e97a6-4281-40a5-9048-fde7809623fb",13.99,electronics,cable,"This high quality cabling is unequaled for your electronics at home and on the go",Any
"87603f27-7e5a-441e-95f6-ee33878695da",295.99,furniture,tables,"Increase your productivity with this unrivaled gainsboro worktable",Any
"4e3dc511-426f-4fdd-9e15-58a7c74c9ff4",16.99,homedecor,lighting,"This hanging lamp is a must-have for the lighting of your home",Any
"8cab347e-fa92-46c5-8a0e-371229e1c539",186.99,furniture,dressers,"This definitive dresser has lots of drawers to organize all your items",Any
"34898360-79dc-4a8c-b774-9a799b0e7054",67.99,jewelry,earrings,"Modish earrings for women for everyday wear",F
"25f47b5f-b4c7-4233-ad13-184da65d9bc8",5.99,electronics,cable,"This high quality cabling is definitive for your electronics at home and on the go",Any
"7000f6e7-41f7-4957-878a-ccc42a39ca59",1.2,"hot dispensed","hot chocolate","Warm and sweet, get up and go.",Any
"75899182-0ec8-4cc8-b578-dcb8d18fad55",230.99,furniture,dressers,"This unrivaled dresser has lots of drawers to organize all your items",Any
"bd446035-3a6f-49b0-a1c3-d346d12cb877",55.99,seasonal,valentine,"A must-have for that special day",Any
"e53a6570-3a3f-4ca8-b6dc-8ff378bca757",12.99,books,travel,"Plan your next trip with this essential reference book on Sweden",Any
"70d44a58-e099-40ea-8c01-575013ff0be2",305.99,outdoors,kayaking,"Explore the waterways with this bold kayak",Any
"f5aea4cc-13dc-492b-a744-27a5e3f718cf",13.99,tools,screwdriver,"Essential screwdriver for every craftperson",Any
"8e772d7a-3921-4cf8-bf97-e428e90eeba1",13.99,groceries,meat,"Our beef is raised sustainably by our farmers",Any
"83a95e2a-ba98-41cb-80ad-bd3264e735c0",46.99,seasonal,easter,"A must-have for April",Any
"efa95381-3282-4271-8ff5-5f78b5a5ea6f",115.99,seasonal,christmas,"A must-have for the holidays",Any
"6d1e04fb-e960-43c3-9709-d83e19007cda",9.99,footwear,formal,"Pair of black formal heels for women",F
"959732aa-01c5-4416-8a60-067797539182",55.99,outdoors,fishing,"Sure-fire and easy to use fishing reel",Any
"6685cdbb-07c0-448d-9927-a5477e610363",33.99,homedecor,decorative,"This ceramic vase is a must-have for your home decor",Any
"27611481-bedc-4ffd-b8e6-4af2a34d5b3e",3.99,groceries,dairy,"This cheese is fresh from our dairy farms",Any
"202ee1c4-22af-4329-8672-b218174bf293",81.99,accessories,handbag,"This funky tan handbag is the perfect accessory for casually toddling all over",F
"ddb21847-ca9b-45ec-b7fc-4cf3409ffda7",94.99,apparel,scarf,"Fashionable scarf for women for every occasion",F
"3d7fefba-b18a-4571-8a5f-0fc7547c7513",144.99,homedecor,clock,"This wall clock will keep you on time",Any
"f7c1d04c-3076-4389-b06a-91993c983777",146.99,footwear,boot,"This pair of saddle brown boots is first-class for the autumn",F
"14c5314c-6325-41e9-8e5b-4f72f5b05f27",2.99,groceries,fruits,"This delicious fruit is everyone's favorite",Any
"b31c2063-c802-4ceb-a77a-0cab15cf99ee",89.99,accessories,belt,"This hip belt for women is perfect for all occasions",F
"c26e6166-6609-4e61-a674-3e58b6dfc7fc",269.99,furniture,tables,"Increase your productivity with this incomparable worktable",Any
"baa6a74a-015f-41dd-8dd8-bdfc8dc1918a",110.99,footwear,sneaker,"An all-around intrepid pair of light slate gray sneakers",M
"dabf7e92-b754-41f9-b182-b0e2d85eaa37",69.99,homedecor,clock,"This table clock will keep you on time",Any
"3818f451-1478-42e4-8d0d-a3a4779dbc6d",9.99,electronics,camera,"Camera for amateurs and professonals",Any
"e64a78fe-21c6-4a9d-afd2-454692ad7196",9.99,electronics,computer,"Desktop computer for your computing needs",Any
"0dc8e3c4-4556-45fe-a80f-48176777fb83",9.99,footwear,formal,"Pair of neon pink formal shoes for women",F
"98330a26-c51c-451e-8caa-911a8c7abf26",34.99,housewares,bowls,"Exquisite ceramic bowl for every occasion",Any
"c3801e4e-9cdf-4ca8-80ec-7c7ce09a84fa",103.99,accessories,glasses,"These cool glasses for women are perfect everywhere",F
"d52e376b-d958-4d52-ab6d-f7731c7adf22",95.99,accessories,handbag,"Dark gray handbag for those dressy occasions",F
"d24d9212-ca95-45c0-9ced-1d315722d035",676.99,furniture,sofas,"Enjoy this comfy dark slate gray sofa",Any
"e75ccb4c-17a5-4746-b307-803dc61fce7d",343.99,instruments,strings,"This acoustic guitar will delight the most demanding musician",Any
"b55e794f-1137-4de2-bcea-806041e080e6",10.99,books,travel,"Plan your next trip with this essential reference book on China",Any
"785b0efe-f08c-4199-84b7-de45a2c60a56",113.99,accessories,watch,"This watch for men is unsurpassed everyday",M
"99c88141-7b7c-403b-b8eb-5dd5e8efd4a4",59.99,housewares,kitchen,"A must-have for your kitchen",Any
"020a5afe-fb13-4499-a1fa-8594d326eaa0",31.99,housewares,bowls,"This elegant ceramic bowl is a must-have",Any
"654926f7-2240-429e-9222-f705d62a8841",3.99,groceries,fruits,"This delish fruit is everyone's favorite",Any
"e50a3585-a7be-4481-a4bb-4769a6066c91",8.99,groceries,meat,"Our beef is organic and raised sustainably",Any
"9d5f948a-713b-40c8-a1f8-2a289dcada5b",63.99,housewares,kitchen,"A must-have for your kitchen",Any
